datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T17:40:13.000000Z,APEX-1-T,42.75568389892578,-71.37004852294922,4432,0.0,1.6470588235294117,0,594.0,53.9,689,15,51,53,2025-06-21T17:40:20.215039,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615489,Horus Binary v2,,0.47,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:18.492107Z,5903B10211280DD2052B4277BD8EC25011330F355400001B0200341700007244
2025-06-21T17:40:58.000000Z,APEX-1-T,42.751007080078125,-71.36371612548828,4748,0.0,1.6274509803921569,0,570.4,53.0,698,15,60,53,2025-06-21T17:41:05.391240,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615498,Horus Binary v2,,-2.8,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:41:03.539680Z,5903BA0211283A08012B4239BA8EC28C123C0F3553000012020048160000A9C7
2025-06-21T17:40:08.000000Z,APEX-1-T,42.75608444213867,-71.37071228027344,4401,0.0,1.6470588235294117,0,596.3,54.0,688,15,48,54,2025-06-21T17:40:14.080261,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.61549,Horus Binary v2,,1.51,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:13.459902Z,5903B0021128083B062B42CEBD8EC23111300F365400001C02004B1700007ADF
2025-06-21T17:40:23.000000Z,APEX-1-T,42.75469207763672,-71.3686294555664,4502,0.0,1.6666666666666667,0,588.6,53.7,691,15,58,53,2025-06-21T17:40:30.479484,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615492,Horus Binary v2,,8.92,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:28.476305Z,5903B302112817CE042B42BDBC8EC296113A0F35550000190200FE160000D3D0
2025-06-21T17:42:58.000000Z,APEX-1-T,42.73728561401367,-71.34143829345703,5540,0.0,1.6274509803921569,0,514.7,50.3,722,15,85,50,2025-06-21T17:43:05.279670,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615495,Horus Binary v2,,3.64,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:03.702953Z,5903D202112A3AFBF22A42D1AE8EC2A415550F32530000F701001B140000303C
2025-06-21T17:43:08.000000Z,APEX-1-T,42.73595428466797,-71.33967590332031,5602,0.0,1.6274509803921569,0,510.2,50.1,724,15,75,50,2025-06-21T17:43:15.577006,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.61549,Horus Binary v2,,1.36,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:13.684485Z,5903D402112B089EF12A42EAAD8EC2E2154B0F32530000F50100EE13000062E0
2025-06-21T17:43:18.000000Z,APEX-1-T,42.73470687866211,-71.33792877197266,5667,0.0,1.6274509803921569,0,506.0,49.8,726,15,67,49,2025-06-21T17:43:25.734617,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615489,Horus Binary v2,,3.94,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:23.753030Z,5903D602112B1257F02A4205AD8EC22316430F31530000F20100C4130000E49C
2025-06-21T17:43:33.000000Z,APEX-1-T,42.73294448852539,-71.33541870117188,5766,0.0,1.6274509803921569,0,499.6,49.5,729,15,66,49,2025-06-21T17:43:40.277895,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615493,Horus Binary v2,,4.17,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:38.770903Z,5903D902112B2189EE2A42BCAB8EC28616420F31530000EF0100841300005FE3
2025-06-21T17:43:23.000000Z,APEX-1-T,42.73415756225586,-71.33709716796875,5699,0.0,1.6274509803921569,0,503.7,49.7,727,15,67,49,2025-06-21T17:43:29.982583,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615486,Horus Binary v2,,3.46,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:28.701964Z,5903D702112B17C7EF2A4298AC8EC24316430F31530000F10100AD130000F593
2025-06-21T17:43:38.000000Z,APEX-1-T,42.73225784301758,-71.33453369140625,5799,0.0,1.6274509803921569,0,497.4,49.4,730,15,77,49,2025-06-21T17:43:44.435304,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615484,Horus Binary v2,,4.93,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:43.720531Z,5903DA02112B26D5ED2A4248AB8EC2A7164D0F31530000EE01006E130000C53D
